priceTimestamp,pricePVPC,priceSpot
2025-05-15T02:00:00Z,92.27,10.63
2025-05-15T10:00:00Z,149.09,-3.0
2025-05-15T17:00:00Z,156.71,0.0
2025-05-15T18:00:00Z,177.27,18.57
2025-05-15T13:00:00Z,80.98,-5.0
2025-05-15T14:00:00Z,81.6,-5.0
2025-05-15T06:00:00Z,127.95,34.11
2025-05-15T21:00:00Z,113.74,19.98
2025-05-15T11:00:00Z,146.12,-3.0
2025-05-15T16:00:00Z,155.55,-0.5
2025-05-15T05:00:00Z,104.34,35.01
2025-05-15T19:00:00Z,188.03,35.01
2025-05-15T04:00:00Z,99.46,20.0
2025-05-15T08:00:00Z,151.13,-0.5
2025-05-15T07:00:00Z,90.95,3.52
2025-05-15T20:00:00Z,121.81,30.64
2025-05-15T00:00:00Z,102.69,18.47
2025-05-15T09:00:00Z,150.5,-1.54
2025-05-15T03:00:00Z,96.62,16.26
2025-05-15T01:00:00Z,92.64,10.55
2025-05-15T12:00:00Z,81.07,-4.0
2025-05-15T15:00:00Z,83.47,-3.99
