priceTimestamp,pricePVPC,priceSpot
2025-05-09T07:00:00Z,93.92,12.86
2025-05-09T00:00:00Z,89.13,13.0
2025-05-09T15:00:00Z,78.79,0.0
2025-05-09T12:00:00Z,77.19,-0.01
2025-05-09T19:00:00Z,234.4,80.27
2025-05-09T01:00:00Z,83.06,9.58
2025-05-09T16:00:00Z,154.77,7.04
2025-05-09T10:00:00Z,143.79,0.0
2025-05-09T04:00:00Z,99.61,30.26
2025-05-09T18:00:00Z,194.76,41.92
2025-05-09T21:00:00Z,131.53,39.76
2025-05-09T13:00:00Z,78.01,-0.01
2025-05-09T09:00:00Z,144.09,0.22
2025-05-09T05:00:00Z,101.94,39.37
2025-05-09T02:00:00Z,81.04,7.52
2025-05-09T14:00:00Z,78.88,-0.01
2025-05-09T06:00:00Z,116.72,30.58
2025-05-09T20:00:00Z,148.77,57.64
2025-05-09T03:00:00Z,82.72,11.13
2025-05-09T08:00:00Z,152.26,7.17
2025-05-09T11:00:00Z,140.8,0.0
2025-05-09T17:00:00Z,165.65,15.63
