priceTimestamp,pricePVPC,priceSpot
2025-05-14T06:00:00Z,140.13,57.64
2025-05-14T14:00:00Z,72.93,-0.89
2025-05-14T18:00:00Z,195.26,46.5
2025-05-14T17:00:00Z,174.87,26.09
2025-05-14T03:00:00Z,109.12,40.05
2025-05-14T10:00:00Z,138.58,-1.13
2025-05-14T05:00:00Z,149.48,91.53
2025-05-14T19:00:00Z,210.01,64.03
2025-05-14T13:00:00Z,72.46,-1.54
2025-05-14T11:00:00Z,132.89,-4.0
2025-05-14T08:00:00Z,139.38,0.28
2025-05-14T02:00:00Z,106.36,36.0
2025-05-14T12:00:00Z,69.87,-3.0
2025-05-14T20:00:00Z,145.1,61.51
2025-05-14T04:00:00Z,119.39,53.08
2025-05-14T16:00:00Z,143.89,0.17
2025-05-14T00:00:00Z,113.94,41.2
2025-05-14T21:00:00Z,125.43,40.14
2025-05-14T07:00:00Z,116.38,37.8
2025-05-14T01:00:00Z,107.74,37.41
2025-05-14T09:00:00Z,139.3,-0.02
2025-05-14T15:00:00Z,74.33,-0.01
