priceTimestamp,pricePVPC,priceSpot
2025-05-13T14:00:00Z,69.71,0.0
2025-05-13T06:00:00Z,146.0,68.25
2025-05-13T03:00:00Z,104.01,39.79
2025-05-13T10:00:00Z,135.21,-0.5
2025-05-13T00:00:00Z,106.42,37.83
2025-05-13T02:00:00Z,102.2,35.01
2025-05-13T08:00:00Z,136.75,1.2
2025-05-13T17:00:00Z,174.81,33.56
2025-05-13T11:00:00Z,130.39,-2.51
2025-05-13T05:00:00Z,161.55,108.09
2025-05-13T19:00:00Z,273.39,128.07
2025-05-13T01:00:00Z,101.18,35.01
2025-05-13T16:00:00Z,165.24,24.7
2025-05-13T09:00:00Z,135.23,0.0
2025-05-13T13:00:00Z,69.49,-0.01
2025-05-13T20:00:00Z,194.24,112.3
2025-05-13T15:00:00Z,70.77,0.65
2025-05-13T07:00:00Z,97.34,25.58
2025-05-13T21:00:00Z,156.5,74.55
2025-05-13T04:00:00Z,131.87,70.0
2025-05-13T18:00:00Z,238.14,92.67
2025-05-13T12:00:00Z,66.66,-2.08
2025-05-13T23:00:00Z,116.02,45.33
2025-05-13T22:00:00Z,132.33,64.93
