predictionTimestamp,location,temperature,humidity,cloudiness,weatherDescription,partOfDay
2025-05-11T00:00:00Z,Madrid,11.14,76.0,7.0,clear sky,n
2025-05-11T01:00:00Z,Madrid,10.59,80.0,2.0,clear sky,n
2025-05-11T02:00:00Z,Madrid,10.07,82.0,5.0,clear sky,n
2025-05-11T03:00:00Z,Madrid,9.53,83.0,3.0,clear sky,n
2025-05-11T04:00:00Z,Madrid,9.07,84.0,1.0,clear sky,n
2025-05-11T05:00:00Z,Madrid,8.6,85.0,0.0,clear sky,n
2025-05-11T06:00:00Z,Madrid,9.01,82.0,0.0,clear sky,d
2025-05-11T07:00:00Z,Madrid,10.65,70.0,0.0,clear sky,d
2025-05-11T08:00:00Z,Madrid,12.12,60.0,0.0,clear sky,d
2025-05-11T09:00:00Z,Madrid,13.5,54.0,0.0,clear sky,d
2025-05-11T10:00:00Z,Madrid,14.97,48.0,0.0,clear sky,d
2025-05-11T11:00:00Z,Madrid,16.36,41.0,0.0,clear sky,d
2025-05-11T12:00:00Z,Madrid,17.01,38.0,9.0,clear sky,d
2025-05-11T13:00:00Z,Madrid,16.16,40.0,86.0,overcast clouds,d
2025-05-11T14:00:00Z,Madrid,18.23,35.0,66.0,broken clouds,d
2025-05-11T15:00:00Z,Madrid,17.8,34.0,83.0,broken clouds,d
2025-05-11T16:00:00Z,Madrid,17.4,38.0,88.0,overcast clouds,d
2025-05-11T17:00:00Z,Madrid,17.2,38.0,80.0,broken clouds,d
2025-05-11T18:00:00Z,Madrid,16.16,40.0,73.0,broken clouds,d
2025-05-11T19:00:00Z,Madrid,15.39,41.0,30.0,scattered clouds,d
2025-05-11T20:00:00Z,Madrid,14.51,44.0,14.0,few clouds,n
2025-05-11T21:00:00Z,Madrid,13.92,46.0,8.0,clear sky,n
2025-05-11T22:00:00Z,Madrid,13.53,48.0,10.0,clear sky,n
2025-05-11T23:00:00Z,Madrid,13.21,50.0,18.0,few clouds,n
2025-05-11T00:00:00Z,Madrid,11.14,76.0,7.0,clear sky,n
2025-05-11T01:00:00Z,Madrid,10.59,80.0,2.0,clear sky,n
2025-05-11T02:00:00Z,Madrid,10.07,82.0,5.0,clear sky,n
2025-05-11T03:00:00Z,Madrid,9.53,83.0,3.0,clear sky,n
2025-05-11T04:00:00Z,Madrid,9.07,84.0,1.0,clear sky,n
2025-05-11T05:00:00Z,Madrid,8.6,85.0,0.0,clear sky,n
2025-05-11T06:00:00Z,Madrid,9.01,82.0,0.0,clear sky,d
2025-05-11T07:00:00Z,Madrid,10.65,70.0,0.0,clear sky,d
2025-05-11T08:00:00Z,Madrid,12.12,60.0,0.0,clear sky,d
2025-05-11T09:00:00Z,Madrid,13.5,54.0,0.0,clear sky,d
2025-05-11T10:00:00Z,Madrid,14.97,48.0,0.0,clear sky,d
2025-05-11T11:00:00Z,Madrid,16.36,41.0,0.0,clear sky,d
2025-05-11T12:00:00Z,Madrid,17.01,38.0,9.0,clear sky,d
2025-05-11T13:00:00Z,Madrid,16.16,40.0,86.0,overcast clouds,d
2025-05-11T14:00:00Z,Madrid,18.23,35.0,66.0,broken clouds,d
2025-05-11T15:00:00Z,Madrid,17.8,34.0,83.0,broken clouds,d
2025-05-11T16:00:00Z,Madrid,17.4,38.0,88.0,overcast clouds,d
2025-05-11T17:00:00Z,Madrid,17.2,38.0,80.0,broken clouds,d
2025-05-11T18:00:00Z,Madrid,16.16,40.0,73.0,broken clouds,d
2025-05-11T19:00:00Z,Madrid,15.39,41.0,30.0,scattered clouds,d
2025-05-11T20:00:00Z,Madrid,14.51,44.0,14.0,few clouds,n
2025-05-11T21:00:00Z,Madrid,13.92,46.0,8.0,clear sky,n
2025-05-11T22:00:00Z,Madrid,13.53,48.0,10.0,clear sky,n
2025-05-11T23:00:00Z,Madrid,13.21,50.0,18.0,few clouds,n
