predictionTimestamp,location,temperature,humidity,cloudiness,weatherDescription,partOfDay
2025-05-19T00:00:00Z,Madrid,19.84,50.0,75.0,broken clouds,n
2025-05-19T01:00:00Z,Madrid,19.08,50.0,100.0,overcast clouds,n
2025-05-19T02:00:00Z,Madrid,17.62,57.0,100.0,overcast clouds,n
2025-05-19T03:00:00Z,Madrid,17.12,59.0,99.0,overcast clouds,n
2025-05-19T04:00:00Z,Madrid,16.69,60.0,76.0,broken clouds,n
2025-05-19T05:00:00Z,Madrid,16.31,63.0,61.0,broken clouds,d
2025-05-19T06:00:00Z,Madrid,16.65,62.0,51.0,broken clouds,d
2025-05-19T07:00:00Z,Madrid,18.0,58.0,0.0,clear sky,d
2025-05-19T08:00:00Z,Madrid,19.38,56.0,2.0,clear sky,d
2025-05-19T09:00:00Z,Madrid,20.51,52.0,3.0,clear sky,d
