predictionTimestamp,location,temperature,humidity,cloudiness,weatherDescription,partOfDay
2025-05-18T00:00:00Z,Las_Palmas,18.82,76.0,8.0,clear sky,n
2025-05-18T01:00:00Z,Las_Palmas,18.65,78.0,8.0,clear sky,n
2025-05-18T02:00:00Z,Las_Palmas,18.51,81.0,10.0,clear sky,n
2025-05-18T03:00:00Z,Las_Palmas,18.48,83.0,14.0,few clouds,n
2025-05-18T04:00:00Z,Las_Palmas,18.48,84.0,16.0,few clouds,n
2025-05-18T05:00:00Z,Las_Palmas,18.52,85.0,19.0,few clouds,n
2025-05-18T06:00:00Z,Las_Palmas,18.55,86.0,22.0,few clouds,n
2025-05-18T07:00:00Z,Las_Palmas,18.76,86.0,44.0,scattered clouds,d
2025-05-18T08:00:00Z,Las_Palmas,18.98,87.0,43.0,light rain,d
2025-05-18T09:00:00Z,Las_Palmas,19.49,85.0,44.0,light rain,d
2025-05-18T10:00:00Z,Las_Palmas,19.62,84.0,57.0,light rain,d
2025-05-18T11:00:00Z,Las_Palmas,19.59,83.0,62.0,light rain,d
2025-05-18T12:00:00Z,Las_Palmas,20.02,80.0,65.0,light rain,d
2025-05-18T13:00:00Z,Las_Palmas,19.88,80.0,84.0,light rain,d
2025-05-18T14:00:00Z,Las_Palmas,19.83,79.0,78.0,broken clouds,d
2025-05-18T15:00:00Z,Las_Palmas,19.78,78.0,73.0,broken clouds,d
2025-05-18T16:00:00Z,Las_Palmas,19.71,77.0,78.0,broken clouds,d
2025-05-18T17:00:00Z,Las_Palmas,19.5,77.0,84.0,broken clouds,d
2025-05-18T00:00:00Z,Las_Palmas,18.82,76.0,8.0,clear sky,n
2025-05-18T01:00:00Z,Las_Palmas,18.65,78.0,8.0,clear sky,n
2025-05-18T02:00:00Z,Las_Palmas,18.51,81.0,10.0,clear sky,n
2025-05-18T03:00:00Z,Las_Palmas,18.48,83.0,14.0,few clouds,n
2025-05-18T04:00:00Z,Las_Palmas,18.48,84.0,16.0,few clouds,n
2025-05-18T05:00:00Z,Las_Palmas,18.52,85.0,19.0,few clouds,n
2025-05-18T06:00:00Z,Las_Palmas,18.55,86.0,22.0,few clouds,n
2025-05-18T07:00:00Z,Las_Palmas,18.76,86.0,44.0,scattered clouds,d
2025-05-18T08:00:00Z,Las_Palmas,18.98,87.0,43.0,light rain,d
2025-05-18T09:00:00Z,Las_Palmas,19.49,85.0,44.0,light rain,d
2025-05-18T10:00:00Z,Las_Palmas,19.62,84.0,57.0,light rain,d
2025-05-18T11:00:00Z,Las_Palmas,19.59,83.0,62.0,light rain,d
2025-05-18T12:00:00Z,Las_Palmas,20.02,80.0,65.0,light rain,d
2025-05-18T13:00:00Z,Las_Palmas,19.88,80.0,84.0,light rain,d
2025-05-18T14:00:00Z,Las_Palmas,19.83,79.0,78.0,broken clouds,d
2025-05-18T15:00:00Z,Las_Palmas,19.78,78.0,73.0,broken clouds,d
2025-05-18T16:00:00Z,Las_Palmas,19.71,77.0,78.0,broken clouds,d
2025-05-18T17:00:00Z,Las_Palmas,19.5,77.0,84.0,broken clouds,d
2025-05-18T00:00:00Z,Las_Palmas,19.02,76.0,26.0,scattered clouds,n
2025-05-18T01:00:00Z,Las_Palmas,18.79,77.0,33.0,scattered clouds,n
2025-05-18T02:00:00Z,Las_Palmas,18.49,78.0,20.0,few clouds,n
2025-05-18T03:00:00Z,Las_Palmas,18.33,79.0,14.0,few clouds,n
2025-05-18T04:00:00Z,Las_Palmas,18.18,79.0,12.0,few clouds,n
2025-05-18T05:00:00Z,Las_Palmas,18.14,79.0,11.0,few clouds,n
2025-05-18T06:00:00Z,Las_Palmas,18.12,80.0,10.0,clear sky,n
2025-05-18T07:00:00Z,Las_Palmas,18.39,79.0,4.0,clear sky,d
2025-05-18T08:00:00Z,Las_Palmas,18.96,78.0,5.0,clear sky,d
2025-05-18T09:00:00Z,Las_Palmas,19.39,76.0,7.0,clear sky,d
2025-05-18T10:00:00Z,Las_Palmas,19.84,74.0,9.0,clear sky,d
2025-05-18T11:00:00Z,Las_Palmas,20.13,74.0,9.0,clear sky,d
2025-05-18T12:00:00Z,Las_Palmas,20.38,74.0,10.0,clear sky,d
2025-05-18T13:00:00Z,Las_Palmas,20.42,74.0,19.0,few clouds,d
2025-05-18T14:00:00Z,Las_Palmas,20.3,76.0,27.0,scattered clouds,d
2025-05-18T15:00:00Z,Las_Palmas,20.4,75.0,31.0,scattered clouds,d
2025-05-18T16:00:00Z,Las_Palmas,20.51,75.0,34.0,scattered clouds,d
2025-05-18T17:00:00Z,Las_Palmas,20.49,77.0,37.0,scattered clouds,d
2025-05-18T18:00:00Z,Las_Palmas,20.47,79.0,39.0,scattered clouds,d
2025-05-18T19:00:00Z,Las_Palmas,20.35,80.0,54.0,broken clouds,d
2025-05-18T20:00:00Z,Las_Palmas,19.99,83.0,56.0,broken clouds,n
2025-05-18T21:00:00Z,Las_Palmas,19.89,84.0,51.0,broken clouds,n
2025-05-18T22:00:00Z,Las_Palmas,19.66,84.0,47.0,light rain,n
2025-05-18T23:00:00Z,Las_Palmas,19.5,84.0,48.0,light rain,n
