predictionTimestamp,location,temperature,humidity,cloudiness,weatherDescription,partOfDay
2025-05-14T00:00:00Z,Madrid,16.09,50.0,100.0,overcast clouds,n
2025-05-14T01:00:00Z,Madrid,14.87,53.0,100.0,overcast clouds,n
2025-05-14T02:00:00Z,Madrid,14.75,56.0,100.0,overcast clouds,n
2025-05-14T03:00:00Z,Madrid,14.37,61.0,100.0,overcast clouds,n
2025-05-14T04:00:00Z,Madrid,13.55,67.0,100.0,overcast clouds,n
2025-05-14T05:00:00Z,Madrid,12.65,71.0,100.0,light rain,d
2025-05-14T06:00:00Z,Madrid,12.74,73.0,100.0,light rain,d
2025-05-14T07:00:00Z,Madrid,13.55,70.0,99.0,light rain,d
2025-05-14T08:00:00Z,Madrid,14.68,66.0,86.0,overcast clouds,d
2025-05-14T09:00:00Z,Madrid,16.41,58.0,65.0,light rain,d
2025-05-14T10:00:00Z,Madrid,18.09,51.0,59.0,light rain,d
2025-05-14T11:00:00Z,Madrid,19.28,45.0,50.0,light rain,d
2025-05-14T12:00:00Z,Madrid,20.28,40.0,44.0,scattered clouds,d
2025-05-14T13:00:00Z,Madrid,21.24,36.0,20.0,few clouds,d
2025-05-14T14:00:00Z,Madrid,21.02,35.0,65.0,broken clouds,d
2025-05-14T15:00:00Z,Madrid,20.21,38.0,78.0,broken clouds,d
2025-05-14T16:00:00Z,Madrid,19.57,39.0,83.0,broken clouds,d
2025-05-14T17:00:00Z,Madrid,20.29,35.0,86.0,overcast clouds,d
2025-05-14T18:00:00Z,Madrid,20.02,39.0,78.0,broken clouds,d
2025-05-14T19:00:00Z,Madrid,16.07,58.0,100.0,light rain,d
2025-05-14T20:00:00Z,Madrid,16.13,60.0,93.0,light rain,n
2025-05-14T21:00:00Z,Madrid,15.22,65.0,92.0,overcast clouds,n
2025-05-14T22:00:00Z,Madrid,13.67,71.0,84.0,broken clouds,n
2025-05-14T23:00:00Z,Madrid,13.48,72.0,85.0,overcast clouds,n
2025-05-14T00:00:00Z,Madrid,16.09,50.0,100.0,overcast clouds,n
2025-05-14T01:00:00Z,Madrid,14.87,53.0,100.0,overcast clouds,n
2025-05-14T02:00:00Z,Madrid,14.75,56.0,100.0,overcast clouds,n
2025-05-14T03:00:00Z,Madrid,14.37,61.0,100.0,overcast clouds,n
2025-05-14T04:00:00Z,Madrid,13.55,67.0,100.0,overcast clouds,n
2025-05-14T05:00:00Z,Madrid,12.65,71.0,100.0,light rain,d
2025-05-14T06:00:00Z,Madrid,12.74,73.0,100.0,light rain,d
2025-05-14T07:00:00Z,Madrid,13.55,70.0,99.0,light rain,d
2025-05-14T08:00:00Z,Madrid,14.68,66.0,86.0,overcast clouds,d
2025-05-14T09:00:00Z,Madrid,16.41,58.0,65.0,light rain,d
2025-05-14T10:00:00Z,Madrid,18.09,51.0,59.0,light rain,d
2025-05-14T11:00:00Z,Madrid,19.28,45.0,50.0,light rain,d
2025-05-14T12:00:00Z,Madrid,20.28,40.0,44.0,scattered clouds,d
2025-05-14T13:00:00Z,Madrid,21.24,36.0,20.0,few clouds,d
2025-05-14T14:00:00Z,Madrid,21.02,35.0,65.0,broken clouds,d
2025-05-14T15:00:00Z,Madrid,20.21,38.0,78.0,broken clouds,d
2025-05-14T16:00:00Z,Madrid,19.57,39.0,83.0,broken clouds,d
2025-05-14T17:00:00Z,Madrid,20.29,35.0,86.0,overcast clouds,d
2025-05-14T18:00:00Z,Madrid,20.02,39.0,78.0,broken clouds,d
2025-05-14T19:00:00Z,Madrid,16.07,58.0,100.0,light rain,d
2025-05-14T20:00:00Z,Madrid,16.13,60.0,93.0,light rain,n
2025-05-14T21:00:00Z,Madrid,15.22,65.0,92.0,overcast clouds,n
2025-05-14T22:00:00Z,Madrid,13.67,71.0,84.0,broken clouds,n
2025-05-14T23:00:00Z,Madrid,13.48,72.0,85.0,overcast clouds,n
2025-05-14T18:00:00Z,Madrid,19.6,41.0,73.0,broken clouds,d
2025-05-14T19:00:00Z,Madrid,17.68,54.0,83.0,light rain,d
2025-05-14T20:00:00Z,Madrid,15.42,63.0,89.0,light rain,n
2025-05-14T21:00:00Z,Madrid,12.98,71.0,88.0,light rain,n
2025-05-14T22:00:00Z,Madrid,11.4,74.0,94.0,overcast clouds,n
2025-05-14T23:00:00Z,Madrid,11.71,76.0,95.0,light rain,n
2025-05-14T00:00:00Z,Madrid,16.09,50.0,100.0,overcast clouds,n
2025-05-14T01:00:00Z,Madrid,14.87,53.0,100.0,overcast clouds,n
2025-05-14T02:00:00Z,Madrid,14.75,56.0,100.0,overcast clouds,n
2025-05-14T03:00:00Z,Madrid,14.37,61.0,100.0,overcast clouds,n
2025-05-14T04:00:00Z,Madrid,13.55,67.0,100.0,overcast clouds,n
2025-05-14T05:00:00Z,Madrid,12.65,71.0,100.0,light rain,d
2025-05-14T06:00:00Z,Madrid,12.74,73.0,100.0,light rain,d
2025-05-14T07:00:00Z,Madrid,13.55,70.0,99.0,light rain,d
2025-05-14T08:00:00Z,Madrid,14.68,66.0,86.0,overcast clouds,d
2025-05-14T09:00:00Z,Madrid,16.41,58.0,65.0,light rain,d
2025-05-14T10:00:00Z,Madrid,18.09,51.0,59.0,light rain,d
2025-05-14T11:00:00Z,Madrid,19.28,45.0,50.0,light rain,d
2025-05-14T12:00:00Z,Madrid,20.28,40.0,44.0,scattered clouds,d
2025-05-14T13:00:00Z,Madrid,21.24,36.0,20.0,few clouds,d
2025-05-14T14:00:00Z,Madrid,21.02,35.0,65.0,broken clouds,d
2025-05-14T15:00:00Z,Madrid,20.21,38.0,78.0,broken clouds,d
2025-05-14T16:00:00Z,Madrid,19.57,39.0,83.0,broken clouds,d
2025-05-14T17:00:00Z,Madrid,20.29,35.0,86.0,overcast clouds,d
2025-05-14T18:00:00Z,Madrid,20.02,39.0,78.0,broken clouds,d
2025-05-14T19:00:00Z,Madrid,16.07,58.0,100.0,light rain,d
2025-05-14T20:00:00Z,Madrid,16.13,60.0,93.0,light rain,n
2025-05-14T21:00:00Z,Madrid,15.22,65.0,92.0,overcast clouds,n
2025-05-14T22:00:00Z,Madrid,13.67,71.0,84.0,broken clouds,n
2025-05-14T23:00:00Z,Madrid,13.48,72.0,85.0,overcast clouds,n
2025-05-14T00:00:00Z,Madrid,16.09,50.0,100.0,overcast clouds,n
2025-05-14T01:00:00Z,Madrid,14.87,53.0,100.0,overcast clouds,n
2025-05-14T02:00:00Z,Madrid,14.75,56.0,100.0,overcast clouds,n
2025-05-14T03:00:00Z,Madrid,14.37,61.0,100.0,overcast clouds,n
2025-05-14T04:00:00Z,Madrid,13.55,67.0,100.0,overcast clouds,n
2025-05-14T05:00:00Z,Madrid,12.65,71.0,100.0,light rain,d
2025-05-14T06:00:00Z,Madrid,12.74,73.0,100.0,light rain,d
2025-05-14T07:00:00Z,Madrid,13.55,70.0,99.0,light rain,d
2025-05-14T08:00:00Z,Madrid,14.68,66.0,86.0,overcast clouds,d
2025-05-14T09:00:00Z,Madrid,16.41,58.0,65.0,light rain,d
2025-05-14T10:00:00Z,Madrid,18.09,51.0,59.0,light rain,d
2025-05-14T11:00:00Z,Madrid,19.28,45.0,50.0,light rain,d
2025-05-14T12:00:00Z,Madrid,20.28,40.0,44.0,scattered clouds,d
2025-05-14T13:00:00Z,Madrid,21.24,36.0,20.0,few clouds,d
2025-05-14T14:00:00Z,Madrid,21.02,35.0,65.0,broken clouds,d
2025-05-14T15:00:00Z,Madrid,20.21,38.0,78.0,broken clouds,d
2025-05-14T16:00:00Z,Madrid,19.57,39.0,83.0,broken clouds,d
2025-05-14T17:00:00Z,Madrid,20.29,35.0,86.0,overcast clouds,d
2025-05-14T18:00:00Z,Madrid,20.02,39.0,78.0,broken clouds,d
2025-05-14T19:00:00Z,Madrid,16.07,58.0,100.0,light rain,d
2025-05-14T20:00:00Z,Madrid,16.13,60.0,93.0,light rain,n
2025-05-14T21:00:00Z,Madrid,15.22,65.0,92.0,overcast clouds,n
2025-05-14T22:00:00Z,Madrid,13.67,71.0,84.0,broken clouds,n
2025-05-14T23:00:00Z,Madrid,13.48,72.0,85.0,overcast clouds,n
2025-05-14T18:00:00Z,Madrid,19.6,41.0,73.0,broken clouds,d
2025-05-14T19:00:00Z,Madrid,17.68,54.0,83.0,light rain,d
