predictionTimestamp,location,temperature,humidity,cloudiness,weatherDescription,partOfDay
2025-05-16T00:00:00Z,Madrid,15.16,61.0,100.0,overcast clouds,n
2025-05-16T01:00:00Z,Madrid,14.24,66.0,39.0,scattered clouds,n
2025-05-16T02:00:00Z,Madrid,13.5,69.0,18.0,few clouds,n
2025-05-16T03:00:00Z,Madrid,12.85,72.0,9.0,clear sky,n
2025-05-16T04:00:00Z,Madrid,12.25,74.0,6.0,clear sky,n
2025-05-16T05:00:00Z,Madrid,11.87,74.0,11.0,few clouds,d
2025-05-16T06:00:00Z,Madrid,12.68,69.0,21.0,few clouds,d
2025-05-16T07:00:00Z,Madrid,13.92,63.0,1.0,clear sky,d
2025-05-16T08:00:00Z,Madrid,15.5,57.0,1.0,clear sky,d
2025-05-16T09:00:00Z,Madrid,17.35,50.0,0.0,clear sky,d
2025-05-16T10:00:00Z,Madrid,18.98,45.0,0.0,clear sky,d
2025-05-16T11:00:00Z,Madrid,20.15,40.0,0.0,clear sky,d
2025-05-16T12:00:00Z,Madrid,21.24,36.0,0.0,clear sky,d
2025-05-16T13:00:00Z,Madrid,22.16,33.0,0.0,clear sky,d
2025-05-16T14:00:00Z,Madrid,22.95,30.0,0.0,clear sky,d
2025-05-16T15:00:00Z,Madrid,22.66,32.0,18.0,few clouds,d
2025-05-16T16:00:00Z,Madrid,22.18,33.0,34.0,scattered clouds,d
2025-05-16T17:00:00Z,Madrid,21.39,37.0,46.0,scattered clouds,d
2025-05-16T00:00:00Z,Madrid,15.16,61.0,100.0,overcast clouds,n
2025-05-16T01:00:00Z,Madrid,14.24,66.0,39.0,scattered clouds,n
2025-05-16T02:00:00Z,Madrid,13.5,69.0,18.0,few clouds,n
2025-05-16T03:00:00Z,Madrid,12.85,72.0,9.0,clear sky,n
2025-05-16T04:00:00Z,Madrid,12.25,74.0,6.0,clear sky,n
2025-05-16T05:00:00Z,Madrid,11.87,74.0,11.0,few clouds,d
2025-05-16T06:00:00Z,Madrid,12.68,69.0,21.0,few clouds,d
2025-05-16T07:00:00Z,Madrid,13.92,63.0,1.0,clear sky,d
2025-05-16T08:00:00Z,Madrid,15.5,57.0,1.0,clear sky,d
2025-05-16T09:00:00Z,Madrid,17.35,50.0,0.0,clear sky,d
2025-05-16T10:00:00Z,Madrid,18.98,45.0,0.0,clear sky,d
2025-05-16T11:00:00Z,Madrid,20.15,40.0,0.0,clear sky,d
2025-05-16T12:00:00Z,Madrid,21.24,36.0,0.0,clear sky,d
2025-05-16T13:00:00Z,Madrid,22.16,33.0,0.0,clear sky,d
2025-05-16T14:00:00Z,Madrid,22.95,30.0,0.0,clear sky,d
2025-05-16T15:00:00Z,Madrid,22.66,32.0,18.0,few clouds,d
2025-05-16T16:00:00Z,Madrid,22.18,33.0,34.0,scattered clouds,d
2025-05-16T17:00:00Z,Madrid,21.39,37.0,46.0,scattered clouds,d
2025-05-16T00:00:00Z,Madrid,13.8,76.0,56.0,broken clouds,n
2025-05-16T01:00:00Z,Madrid,13.5,77.0,95.0,overcast clouds,n
2025-05-16T02:00:00Z,Madrid,13.02,78.0,57.0,broken clouds,n
2025-05-16T03:00:00Z,Madrid,12.61,79.0,46.0,scattered clouds,n
2025-05-16T04:00:00Z,Madrid,12.65,77.0,55.0,broken clouds,n
2025-05-16T05:00:00Z,Madrid,13.04,74.0,65.0,broken clouds,d
2025-05-16T06:00:00Z,Madrid,13.29,71.0,73.0,broken clouds,d
2025-05-16T07:00:00Z,Madrid,14.03,65.0,98.0,overcast clouds,d
2025-05-16T08:00:00Z,Madrid,15.88,56.0,46.0,scattered clouds,d
2025-05-16T09:00:00Z,Madrid,17.67,49.0,31.0,scattered clouds,d
2025-05-16T10:00:00Z,Madrid,19.24,43.0,24.0,few clouds,d
2025-05-16T11:00:00Z,Madrid,20.75,39.0,19.0,few clouds,d
2025-05-16T12:00:00Z,Madrid,22.13,35.0,15.0,few clouds,d
2025-05-16T13:00:00Z,Madrid,22.93,33.0,0.0,clear sky,d
2025-05-16T14:00:00Z,Madrid,23.56,31.0,0.0,clear sky,d
2025-05-16T15:00:00Z,Madrid,23.86,29.0,0.0,clear sky,d
2025-05-16T16:00:00Z,Madrid,24.09,29.0,0.0,clear sky,d
2025-05-16T17:00:00Z,Madrid,23.91,29.0,0.0,clear sky,d
2025-05-16T18:00:00Z,Madrid,23.44,30.0,0.0,clear sky,d
2025-05-16T19:00:00Z,Madrid,22.07,36.0,0.0,clear sky,d
2025-05-16T20:00:00Z,Madrid,20.54,42.0,0.0,clear sky,n
2025-05-16T21:00:00Z,Madrid,19.53,46.0,0.0,clear sky,n
2025-05-16T22:00:00Z,Madrid,19.12,47.0,0.0,clear sky,n
2025-05-16T23:00:00Z,Madrid,18.34,49.0,0.0,clear sky,n
2025-05-16T00:00:00Z,Madrid,15.16,61.0,100.0,overcast clouds,n
2025-05-16T01:00:00Z,Madrid,14.24,66.0,39.0,scattered clouds,n
2025-05-16T02:00:00Z,Madrid,13.5,69.0,18.0,few clouds,n
2025-05-16T03:00:00Z,Madrid,12.85,72.0,9.0,clear sky,n
2025-05-16T04:00:00Z,Madrid,12.25,74.0,6.0,clear sky,n
2025-05-16T05:00:00Z,Madrid,11.87,74.0,11.0,few clouds,d
2025-05-16T06:00:00Z,Madrid,12.68,69.0,21.0,few clouds,d
2025-05-16T07:00:00Z,Madrid,13.92,63.0,1.0,clear sky,d
2025-05-16T08:00:00Z,Madrid,15.5,57.0,1.0,clear sky,d
2025-05-16T09:00:00Z,Madrid,17.35,50.0,0.0,clear sky,d
2025-05-16T10:00:00Z,Madrid,18.98,45.0,0.0,clear sky,d
2025-05-16T11:00:00Z,Madrid,20.15,40.0,0.0,clear sky,d
2025-05-16T12:00:00Z,Madrid,21.24,36.0,0.0,clear sky,d
2025-05-16T13:00:00Z,Madrid,22.16,33.0,0.0,clear sky,d
2025-05-16T14:00:00Z,Madrid,22.95,30.0,0.0,clear sky,d
2025-05-16T15:00:00Z,Madrid,22.66,32.0,18.0,few clouds,d
2025-05-16T16:00:00Z,Madrid,22.18,33.0,34.0,scattered clouds,d
2025-05-16T17:00:00Z,Madrid,21.39,37.0,46.0,scattered clouds,d
2025-05-16T00:00:00Z,Madrid,15.16,61.0,100.0,overcast clouds,n
2025-05-16T01:00:00Z,Madrid,14.24,66.0,39.0,scattered clouds,n
2025-05-16T02:00:00Z,Madrid,13.5,69.0,18.0,few clouds,n
2025-05-16T03:00:00Z,Madrid,12.85,72.0,9.0,clear sky,n
2025-05-16T04:00:00Z,Madrid,12.25,74.0,6.0,clear sky,n
2025-05-16T05:00:00Z,Madrid,11.87,74.0,11.0,few clouds,d
2025-05-16T06:00:00Z,Madrid,12.68,69.0,21.0,few clouds,d
2025-05-16T07:00:00Z,Madrid,13.92,63.0,1.0,clear sky,d
2025-05-16T08:00:00Z,Madrid,15.5,57.0,1.0,clear sky,d
2025-05-16T09:00:00Z,Madrid,17.35,50.0,0.0,clear sky,d
2025-05-16T10:00:00Z,Madrid,18.98,45.0,0.0,clear sky,d
2025-05-16T11:00:00Z,Madrid,20.15,40.0,0.0,clear sky,d
2025-05-16T12:00:00Z,Madrid,21.24,36.0,0.0,clear sky,d
2025-05-16T13:00:00Z,Madrid,22.16,33.0,0.0,clear sky,d
2025-05-16T14:00:00Z,Madrid,22.95,30.0,0.0,clear sky,d
2025-05-16T15:00:00Z,Madrid,22.66,32.0,18.0,few clouds,d
2025-05-16T16:00:00Z,Madrid,22.18,33.0,34.0,scattered clouds,d
2025-05-16T17:00:00Z,Madrid,21.39,37.0,46.0,scattered clouds,d
2025-05-16T00:00:00Z,Madrid,13.8,76.0,56.0,broken clouds,n
2025-05-16T01:00:00Z,Madrid,13.5,77.0,95.0,overcast clouds,n
2025-05-16T02:00:00Z,Madrid,13.02,78.0,57.0,broken clouds,n
2025-05-16T03:00:00Z,Madrid,12.61,79.0,46.0,scattered clouds,n
2025-05-16T04:00:00Z,Madrid,12.65,77.0,55.0,broken clouds,n
2025-05-16T05:00:00Z,Madrid,13.04,74.0,65.0,broken clouds,d
2025-05-16T06:00:00Z,Madrid,13.29,71.0,73.0,broken clouds,d
2025-05-16T07:00:00Z,Madrid,14.03,65.0,98.0,overcast clouds,d
2025-05-16T08:00:00Z,Madrid,15.88,56.0,46.0,scattered clouds,d
2025-05-16T09:00:00Z,Madrid,17.67,49.0,31.0,scattered clouds,d
2025-05-16T10:00:00Z,Madrid,19.24,43.0,24.0,few clouds,d
2025-05-16T11:00:00Z,Madrid,20.75,39.0,19.0,few clouds,d
2025-05-16T12:00:00Z,Madrid,22.13,35.0,15.0,few clouds,d
2025-05-16T13:00:00Z,Madrid,22.93,33.0,0.0,clear sky,d
2025-05-16T14:00:00Z,Madrid,23.56,31.0,0.0,clear sky,d
2025-05-16T15:00:00Z,Madrid,23.86,29.0,0.0,clear sky,d
2025-05-16T16:00:00Z,Madrid,24.09,29.0,0.0,clear sky,d
2025-05-16T17:00:00Z,Madrid,23.91,29.0,0.0,clear sky,d
2025-05-16T18:00:00Z,Madrid,23.44,30.0,0.0,clear sky,d
2025-05-16T19:00:00Z,Madrid,22.07,36.0,0.0,clear sky,d
2025-05-16T20:00:00Z,Madrid,20.54,42.0,0.0,clear sky,n
2025-05-16T21:00:00Z,Madrid,19.53,46.0,0.0,clear sky,n
2025-05-16T22:00:00Z,Madrid,19.12,47.0,0.0,clear sky,n
2025-05-16T23:00:00Z,Madrid,18.34,49.0,0.0,clear sky,n
2025-05-16T00:00:00Z,Madrid,10.32,70.0,14.0,few clouds,n
2025-05-16T01:00:00Z,Madrid,12.78,71.0,3.0,clear sky,n
2025-05-16T02:00:00Z,Madrid,12.4,72.0,5.0,clear sky,n
2025-05-16T03:00:00Z,Madrid,11.98,72.0,2.0,clear sky,n
2025-05-16T04:00:00Z,Madrid,11.53,73.0,3.0,clear sky,n
